id;morning;noon;afternoon;evening;midnight;night;sales_day
1;800;600;1000;1200;400;200;2013-11-20
2;900;700;1100;1300;500;200;2013-11-21
3;500;400;800;900;100;200;2013-11-21
4;500;400;800;900;100;200;2013-11-22
5;2000;1600;1700;1400;600;300;2013-11-23
6;2200;1800;1900;1600;800;300;2013-11-24
7;1600;1300;1200;1100;200;400;2013-11-25
8;1100;1000;900;850;400;200;2013-11-26
9;1200;1100;1000;950;700;200;2013-11-27
10;1200;1100;1000;650;700;200;2013-11-28
11;1100;1300;1100;1050;850;200;2013-11-29
12;1200;1400;1200;1150;950;250;2013-11-30
