id;created_date;last_modified_date;description;permission_acl_class_category_id;permission_general_category_id;permission_name;title;created_by_id;last_modified_by_id
1;NULL;NULL;Allows to view a page.;3;1;PAGE_VIEW;Page View;NULL;NULL
2;NULL;NULL;Allows to add a page.;3;1;PAGE_ADD;Page Add;NULL;NULL
3;NULL;NULL;Allows to edit a page.;3;1;PAGE_EDIT;Page Edit;NULL;NULL
4;NULL;NULL;Allows to delete a page.;3;1;PAGE_DELETE;Page Delete;NULL;NULL
5;NULL;NULL;Allows to configure a page.;3;1;PAGE_CONFIGURATION;Page Configuration;NULL;NULL
6;NULL;NULL;Allows to change permissions to a page.;3;1;PAGE_PERMISSION;Page Permission;NULL;NULL

7;NULL;NULL;Allows to view a module.;2;1;MODULE_VIEW;Module View;NULL;NULL
8;NULL;NULL;Allows to add a module.;2;1;MODULE_ADD;Module Add;NULL;NULL
9;NULL;NULL;Allows to edit a module.;2;1;MODULE_EDIT;Module Edit;NULL;NULL
10;NULL;NULL;Allows to delete a module.;2;1;MODULE_DELETE;Module Delete;NULL;NULL
11;NULL;NULL;Allows to configure a module.;2;1;MODULE_CONFIGURATION;Module Configuration;NULL;NULL
12;NULL;NULL;Allows to change permissions to a module.;2;1;MODULE_PERMISSION;Module Permission;NULL;NULL

13;NULL;NULL;Allows to view a layout.;1;1;LAYOUT_VIEW;Layout View;NULL;NULL
14;NULL;NULL;Allows to add a alyout.;1;1;LAYOUT_ADD;Layout Add;NULL;NULL
15;NULL;NULL;Allows to edit a layout.;1;1;LAYOUT_EDIT;Layout Edit;NULL;NULL
16;NULL;NULL;Allows to delete a layout.;1;1;LAYOUT_DELETE;Layout Delete;NULL;NULL
17;NULL;NULL;Allows to change permissions to a page.;1;1;LAYOUT_PERMISSION;Layout Permission;NULL;NULL


