id;name;type;data_source_column_id
1;Axis X;0;5
2;Axis Y;1;3
3;Axis X;0;6
4;Axis Y;1;3
5;Axis X;0;5
6;Axis Y;1;2
7;Axis Y;2;3
8;Axis X;0;5
9;Axis Y;1;2
10;Axis Y;2;3
11;Axis X;0;5
12;Axis Y;1;2
13;Axis Y;2;3
14;Axis X;0;5
15;Axis Y;1;2
16;Axis Y;2;3
17;Axis X;0;5
18;Axis Y;1;2
19;Axis Y;2;3
20;Axis X;0;5
21;Axis Y;1;2
22;Axis Y;2;3
23;Axis X;0;5
24;Axis Y;1;2
25;Axis Y;2;3
26;Axis X;0;5
27;Axis Y;2;3
28;Axis X;0;5
29;Axis Y;1;2
30;Axis Y;2;3
31;Axis Y;2;4
32;Axis X;0;5
33;Axis Y;1;2
34;Axis Y;2;3
35;Axis Y;2;4
